frame,timestamp_s,x,y,z,qw,qx,qy,qz
112,267.469880,-0.736220,0.350775,0.736220,0.064975,-0.581933,-0.789985,-0.181813
113,269.879518,-0.742189,0.324641,0.742189,0.071674,-0.574384,-0.793436,-0.188163
114,272.289157,-0.747695,0.298305,0.747695,0.078418,-0.566681,-0.796793,-0.194537
115,274.698795,-0.752734,0.271782,0.752734,0.085168,-0.558869,-0.800033,-0.200898
116,277.108434,-0.757302,0.245089,0.757302,0.091845,-0.551038,-0.803120,-0.207171
117,279.518072,-0.761398,0.218242,0.761398,0.098553,-0.543068,-0.806103,-0.213454
118,281.927711,-0.765017,0.191259,0.765017,0.105225,-0.535039,-0.808950,-0.219685
119,284.337349,-0.768158,0.164156,0.768158,0.111831,-0.526986,-0.811651,-0.225835
120,286.746988,-0.770820,0.136950,0.770820,0.118511,-0.518739,-0.814263,-0.232035
121,289.156627,-0.773000,0.109659,0.773000,0.125177,-0.510404,-0.816748,-0.238203
122,291.566265,-0.774696,0.082299,0.774696,0.131798,-0.502021,-0.819095,-0.244310
123,293.975904,-0.775909,0.054888,0.775909,0.138335,-0.493642,-0.821293,-0.250320
124,296.385542,-0.776637,0.027443,0.776637,0.144882,-0.485144,-0.823374,-0.256321
125,298.795181,-0.776879,-0.000020,0.776879,0.151454,-0.476508,-0.825340,-0.262325
126,301.204819,-0.776636,-0.027482,0.776636,0.157955,-0.467861,-0.827164,-0.268245
127,303.614458,-0.775907,-0.054928,0.775907,0.164510,-0.459035,-0.828879,-0.274194
128,306.024096,-0.774694,-0.082339,0.774694,0.170963,-0.450238,-0.830445,-0.280032
129,308.433735,-0.772997,-0.109698,0.772997,0.177403,-0.441354,-0.831884,-0.285838
130,310.843373,-0.770816,-0.136989,0.770816,0.183809,-0.432410,-0.833192,-0.291593
131,313.253012,-0.768154,-0.164195,0.768154,0.190168,-0.423424,-0.834367,-0.297287
132,315.662651,-0.765012,-0.191298,0.765012,0.196561,-0.414281,-0.835423,-0.302991
133,318.072289,-0.761392,-0.218281,0.761392,0.202866,-0.405155,-0.836339,-0.308597
134,320.481928,-0.757296,-0.245127,0.757296,0.209128,-0.395984,-0.837123,-0.314145
135,322.891566,-0.752727,-0.271820,0.752727,0.215433,-0.386639,-0.837785,-0.319710
136,325.301205,-0.747688,-0.298342,0.747688,0.221637,-0.377334,-0.838310,-0.325166
137,327.710843,-0.742181,-0.324679,0.742181,0.227826,-0.367939,-0.838705,-0.330589
138,330.120482,-0.736211,-0.350812,0.736211,0.233956,-0.358524,-0.838969,-0.335940
139,332.530120,-0.729781,-0.376726,0.729781,0.240106,-0.348967,-0.839104,-0.341287
140,334.939759,-0.722895,-0.402403,0.722895,0.246210,-0.339366,-0.839106,-0.346574
141,337.349398,-0.715557,-0.427830,0.715557,0.252220,-0.329800,-0.838977,-0.351758
142,339.759036,-0.707772,-0.452989,0.707772,0.258200,-0.320170,-0.838719,-0.356896
143,342.168675,-0.699545,-0.477865,0.699545,0.264198,-0.310394,-0.838326,-0.362028
144,344.578313,-0.690881,-0.502442,0.690881,0.270102,-0.300655,-0.837806,-0.367059
145,346.987952,-0.681786,-0.526705,0.681786,0.275984,-0.290837,-0.837154,-0.372049
146,349.397590,-0.672266,-0.550634,0.672266,0.281836,-0.280951,-0.836369,-0.376992
147,351.807229,-0.662331,-0.574210,0.662331,0.287607,-0.271084,-0.835458,-0.381845
148,354.216867,-0.651983,-0.597427,0.651983,0.293369,-0.261113,-0.834411,-0.386668
149,356.626506,-0.641228,-0.620270,0.641228,0.299064,-0.251138,-0.833238,-0.391414
150,359.036145,-0.630072,-0.642729,0.630072,0.304680,-0.241182,-0.831943,-0.396072
151,361.445783,-0.618524,-0.664784,0.618524,0.310319,-0.231063,-0.830501,-0.400726
152,363.855422,-0.606590,-0.686424,0.606590,0.315876,-0.220966,-0.828937,-0.405290
153,366.265060,-0.594278,-0.707637,0.594278,0.321390,-0.210824,-0.827242,-0.409796
154,368.674699,-0.581593,-0.728409,0.581593,0.326839,-0.200675,-0.825422,-0.414226
155,371.084337,-0.568547,-0.748726,0.568547,0.332249,-0.190474,-0.823470,-0.418601
